Date,btc_price,eth_price
2020-07-06,9089.09,241.510223
2020-07-05,9131.31,227.664597
2020-07-04,9072.42,229.074112
2020-07-03,9087.98,225.38707
2020-07-02,9236.38,229.392197
2020-07-01,9133.97,231.113419
2020-06-30,9185.35,226.315002
2020-06-29,9127.47,228.19487
2020-06-28,9004.23,225.347168
2020-06-27,9154.45,222.959793
2020-06-26,9240.85,229.668045
2020-06-25,9276.58,232.944489
2020-06-24,9621.49,235.772461
2020-06-23,9691.9,244.142151
2020-06-22,9284.78,242.533188
2020-06-21,9357.43,228.989822
2020-06-20,9300.15,229.274261
2020-06-19,9380.03,227.13829
2020-06-18,9454.81,232.101166
2020-06-17,9526,233.028275
2020-06-16,9426.7,234.416168
2020-06-15,9330.07,229.928909
2020-06-14,9473.5,234.1147
2020-06-13,9459.97,238.908844
2020-06-12,9286.42,237.49321
2020-06-11,9892.13,231.702667
2020-06-10,9775.15,247.444946
2020-06-09,9782.59,244.911453
2020-06-08,9753.85,246.309906
2020-06-07,9670.43,245.167252
2020-06-06,9623.75,241.93132
2020-06-05,9794.56,241.221985
2020-06-04,9658.04,244.426392
2020-06-03,9525.57,244.179321
2020-06-02,10204.23,237.219055
2020-06-01,9450.84,246.99176
2020-05-31,9698.1,230.975708
2020-05-30,9425.98,242.345596
2020-05-29,9569.21,220.675125
2020-05-28,9197.54,219.840424
2020-05-27,8842.85,208.863434
2020-05-26,8899.66,201.902313
2020-05-25,8730.73,205.319748
2020-05-24,9178.32,202.370346
2020-05-23,9167.26,208.694397
2020-05-22,9057.57,207.169189
2020-05-21,9510.67,199.883606
2020-05-20,9785.74,210.096741
2020-05-19,9719.37,213.451111
2020-05-18,9669.4,214.525055
2020-05-17,9385.7,207.158691
2020-05-16,9303.59,200.677124
2020-05-15,9790.31,195.622665
2020-05-14,9305.93,202.949097
2020-05-13,8814.53,199.193283
2020-05-12,8617.25,189.3125
2020-05-11,8754.46,185.912842
2020-05-10,9527.39,188.599564
2020-05-09,9821.8,211.600128
2020-05-08,10002.48,212.991577
2020-05-07,9170.79,212.289413
2020-05-06,9030.96,204.055786
2020-05-05,8885.93,206.774399
2020-05-04,8903.95,208.174011
2020-05-03,8973.82,210.933151
2020-05-02,8824.66,215.325378
2020-05-01,8628.77,214.219101
2020-04-30,8777.63,207.602051
2020-04-29,7765.33,216.968231
2020-04-28,7790.66,198.41539
2020-04-27,7699.27,197.224716
2020-04-26,7549.52,197.317535
2020-04-25,7507.08,195.515305
2020-04-24,7477.6,189.236938
2020-04-23,7130.99,185.028671
2020-04-22,6852.52,182.599579
2020-04-21,6840.24,172.737701
2020-04-20,7130.04,172.297165
2020-04-19,7259.36,181.61496
2020-04-18,7034.89,186.914001
2020-04-17,7112.27,171.63858
2020-04-16,6623.8,172.157379
2020-04-15,6871.95,153.286896
2020-04-14,6857.66,157.59639
2020-04-13,6915.37,156.279556
2020-04-12,6891.6,161.142426
2020-04-11,6873.24,158.216019
2020-04-10,7293.69,158.412445
2020-04-09,7365.03,170.807144
2020-04-08,7205.55,172.641739
2020-04-07,7343.2,165.101944
2020-04-06,6777.44,169.13588
2020-04-05,6871.69,143.546646
2020-04-04,6741.67,145.219391
2020-04-03,6809.11,142.091309
2020-04-02,6652.87,142.029144
2020-04-01,6428.28,135.634552
2020-03-31,6405.29,133.593567
2020-03-30,5885.41,132.904541
2020-03-29,6260.95,125.583733
2020-03-28,6369.09,130.986496
2020-03-27,6763.75,133.937943
2020-03-26,6698.46,138.361557
2020-03-25,6768.49,136.195892
2020-03-24,6502.16,138.761444
2020-03-23,5822.62,134.911606
2020-03-22,6189.85,123.321152
2020-03-21,6226.44,132.81871
2020-03-20,6195.2,132.737167
2020-03-19,5410.23,136.593857
2020-03-18,5357.61,114.84227
2020-03-17,5026.35,113.942749
2020-03-16,5348.44,110.605873
2020-03-15,5166.26,125.214302
2020-03-14,5609.03,123.306023
2020-03-13,4830.21,133.201813
2020-03-12,7936.65,112.347122
2020-03-11,7885.46,194.86853
2020-03-10,7931.94,200.767242
2020-03-09,8039.38,201.986328
2020-03-08,8898.63,200.689056
2020-03-07,9155.89,237.853088
2020-03-06,9067.39,243.525299
2020-03-05,8758.9,229.268188
2020-03-04,8754.34,224.517975
2020-03-03,8912.82,224.47963
2020-03-02,8912.82,230.569778
2020-03-01,8534.17,218.970596
2020-02-29,8712.35,219.848511
2020-02-28,8804.72,226.760498
